Name,DOB,Height,Weight,Link,Image
"Abrines, Alex","08/01/1993
              ",6 ft 6 in,190 lbs,http://www.nba.com//players/alex/abrines/203518,http://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/203518.png
"Acy, Quincy","10/06/1990
              ",6 ft 7 in,240 lbs,http://www.nba.com//players/quincy/acy/203112,http://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/203112.png
"Adams, Steven","07/20/1993
              ",7 ft 0 in,255 lbs,http://www.nba.com//players/steven/adams/203500,http://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/203500.png
"Adebayo, Bam","07/18/1997
              ",6 ft 10 in,255 lbs,http://www.nba.com//players/bam/adebayo/1628389,http://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628389.png
"Afflalo, Arron","10/15/1985
              ",6 ft 5 in,210 lbs,http://www.nba.com//players/arron/afflalo/201167,http://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/201167.png
